type,algorithm,size,path_length_mean,path_length_std,visited_mean,visited_std,max_frontier_size_mean,max_frontier_size_std,runtime_s_mean,runtime_s_std,memory_bytes_mean,memory_bytes_std,total_iterations_mean,total_iterations_std,inner_iterations_mean,inner_iterations_std,outer_iterations_mean,outer_iterations_std
pathfinding,A* (Chebyshev),10,16.4,2.1187,33.5,5.5628,6.1,0.8756,0.0001,0.0,5559.2,91.6573,,,,,,
pathfinding,A* (Chebyshev),20,29.8,4.0222,108.6,37.0321,15.1,2.5144,0.0004,0.0002,17650.8,6078.5221,,,,,,
pathfinding,A* (Chebyshev),30,46.0,3.2998,281.6,56.4273,28.0,5.5578,0.0013,0.0003,55230.8,19142.0156,,,,,,
pathfinding,A* (Chebyshev),40,60.4,10.7103,439.7,172.306,36.5,4.6007,0.0021,0.0009,90782.8,40773.7015,,,,,,
pathfinding,A* (Chebyshev),50,80.8,9.6356,830.0,232.236,50.5,9.6408,0.0041,0.0012,169108.8,38346.2294,,,,,,
pathfinding,A* (Chebyshev),100,136.0,7.8457,2576.1,765.1548,111.7,27.5199,0.0133,0.0041,493815.2,170579.2677,,,,,,
pathfinding,A* (Euclidean),10,16.4,2.1187,29.6,5.0596,5.9,1.4491,0.0001,0.0,5320.0,759.2207,,,,,,
pathfinding,A* (Euclidean),20,29.8,4.0222,94.8,38.1599,14.3,2.5408,0.0004,0.0002,15216.0,6127.1578,,,,,,
pathfinding,A* (Euclidean),30,46.0,3.2998,238.9,54.1386,25.3,4.4234,0.0011,0.0003,43549.2,7225.9055,,,,,,
pathfinding,A* (Euclidean),40,60.4,10.7103,387.3,181.84,32.7,4.4234,0.002,0.001,81092.8,45173.5804,,,,,,
pathfinding,A* (Euclidean),50,80.8,9.6356,719.0,274.3412,45.8,11.1136,0.0039,0.0016,132299.6,48896.7017,,,,,,
pathfinding,A* (Euclidean),100,136.0,7.8457,2122.2,608.4426,93.8,21.8724,0.0119,0.0036,430798.4,171100.1834,,,,,,
pathfinding,A* (Manhattan),10,16.4,2.1187,27.6,4.0332,5.9,1.5239,0.0001,0.0,5380.4,822.0829,,,,,,
