type,algorithm,size,path_length_mean,path_length_std,visited_mean,visited_std,max_fringe_size_mean,max_fringe_size_std,runtime_ms_mean,runtime_ms_std,memory_kb_mean,memory_kb_std,total_iterations_mean,total_iterations_std,inner_iterations_mean,inner_iterations_std,outer_iterations_mean,outer_iterations_std,runtime_s_mean,runtime_s_std
pathfinding,A* (Euclidean),10,16.0526,1.6824,30.9474,5.4515,6.1579,1.385,0.1239,0.0211,5.2611,0.5296,,,,,,,,
pathfinding,A* (Euclidean),25,38.0526,5.307,159.2632,56.7057,18.7895,4.6854,0.7331,0.2855,30.0434,13.9178,,,,,,,,
pathfinding,A* (Euclidean),50,75.4211,9.7201,622.4737,252.7285,45.2105,9.2711,3.4427,1.4105,120.2097,44.0149,,,,,,,,
pathfinding,A* (Euclidean),75,110.1579,13.7972,1424.8421,496.0676,72.3158,10.6669,8.3139,3.1654,280.9685,92.9497,,,,,,,,
pathfinding,A* (Euclidean),100,139.9474,9.919,2301.5263,629.5143,93.3158,18.5803,12.8051,3.3706,436.4097,156.4873,,,,,,,,
pathfinding,A* (Manhattan),10,16.0526,1.6824,28.8421,4.8564,6.2632,1.4469,0.1179,0.0215,5.2866,0.5688,,,,,,,,
pathfinding,A* (Manhattan),25,38.0526,5.307,129.1053,47.2427,17.7368,4.5441,0.5432,0.2208,23.5966,11.7734,,,,,,,,
pathfinding,A* (Manhattan),50,75.4211,9.7201,406.6842,166.8209,47.6842,14.6289,1.9936,0.8623,79.7231,41.8926,,,,,,,,
pathfinding,A* (Manhattan),75,110.1579,13.7972,840.6316,303.5348,92.3158,26.7853,4.297,1.6922,166.573,63.1077,,,,,,,,
pathfinding,A* (Manhattan),100,139.9474,9.919,1325.0526,246.5692,112.1053,30.1679,6.6847,1.3099,273.3857,89.3612,,,,,,,,
pathfinding,BFS,10,16.0526,1.6824,47.0,5.8973,6.2105,1.1822,0.1314,0.0187,7.6688,1.7112,,,,,,,,
pathfinding,BFS,25,38.0526,5.307,284.8421,27.0067,17.5789,2.5015,0.7415,0.0762,33.3672,0.0,,,,,,,,
pathfinding,BFS,50,75.4211,9.7201,1275.8947,95.7572,39.6842,3.6976,3.4842,0.6379,162.8988,57.2937,,,,,,,,
pathfinding,BFS,75,110.1579,13.7972,2830.6842,210.5258,57.8947,3.5885,7.8132,1.6901,444.2798,114.481,,,,,,,,
pathfinding,BFS,100,139.9474,9.919,5108.9474,436.9098,75.7368,2.7857,13.5799,1.2323,673.3277,242.488,,,,,,,,
pathfinding,DFS,10,16.8947,3.6802,35.1053,11.7421,4.9474,1.3529,0.1265,0.038,5.243,1.7546,,,,,,,,
pathfinding,DFS,25,77.5263,26.4982,200.2632,90.6365,23.5263,6.7607,0.6268,0.2665,24.5539,9.6998,,,,,,,,
pathfinding,DFS,50,275.8421,193.2199,683.4737,462.8728,101.7895,63.4189,2.2322,1.6766,82.4731,54.5049,,,,,,,,
pathfinding,DFS,75,677.4211,502.3122,1665.7368,1025.1594,265.9474,156.2674,5.6874,4.1101,217.1314,147.9746,,,,,,,,
pathfinding,DFS,100,1027.9474,852.7202,2433.7368,1827.822,411.5263,300.7818,8.2179,6.4449,280.2009,194.29,,,,,,,,
mdp,Policy Iteration,10,16.0526,1.6824,,,,,,,1.9157,0.1778,66.0526,11.9093,54.6842,8.0557,11.3684,3.9329,0.0094,0.0017
mdp,Policy Iteration,25,38.0526,5.307,,,,,,,14.8717,0.1415,123.2632,33.4811,97.0,22.7401,26.2632,10.7901,0.1352,0.033
mdp,Policy Iteration,50,75.4211,9.7201,,,,,,,66.0646,0.1354,266.5789,68.6103,203.6842,46.9859,62.8947,21.8731,1.4236,0.3659
mdp,Policy Iteration,75,110.1579,13.7972,,,,,,,143.8536,0.2967,348.2632,100.1498,264.7368,66.6857,83.5263,34.2821,4.2491,1.1795
mdp,Policy Iteration,100,139.9474,9.919,,,,,,,262.9646,0.3958,446.6316,112.9898,326.1053,69.2755,120.5263,45.168,9.5137,2.1323
mdp,Value Iteration,10,16.0526,1.6824,,,,,,,1.5243,0.1191,12.5789,4.2858,,,,,0.0026,0.0009
mdp,Value Iteration,25,38.0526,5.307,,,,,,,12.9967,0.1615,25.1579,12.984,,,,,0.0423,0.0212
mdp,Value Iteration,50,75.4211,9.7201,,,,,,,64.1822,0.1445,63.2105,24.2248,,,,,0.5075,0.1806
mdp,Value Iteration,75,110.1579,13.7972,,,,,,,142.0654,0.6904,89.1579,32.7893,,,,,1.6494,0.6153
mdp,Value Iteration,100,139.9474,9.919,,,,,,,261.2155,0.5339,130.1053,33.7933,,,,,4.3366,1.1184
