type,algorithm,size,path_length_mean,path_length_std,visited_mean,visited_std,max_frontier_size_mean,max_frontier_size_std,runtime_s_mean,runtime_s_std,memory_bytes_mean,memory_bytes_std,total_iterations_mean,total_iterations_std,inner_iterations_mean,inner_iterations_std,outer_iterations_mean,outer_iterations_std
pathfinding,A* (Chebyshev),10,16.4,2.2572,34.3,5.5923,6.1,1.3338,0.0001,0.0,6003.6,1527.7778,,,,,,
pathfinding,A* (Chebyshev),20,32.3,4.6915,123.45,36.305,15.1,2.5319,0.0005,0.0002,20575.8,7671.4684,,,,,,
pathfinding,A* (Chebyshev),30,47.2,5.2676,293.85,65.6668,27.85,5.0708,0.0014,0.0004,57457.6,20134.9264,,,,,,
pathfinding,A* (Chebyshev),40,59.4,8.146,443.3,136.6382,39.45,6.8937,0.0021,0.0007,89979.8,29563.208,,,,,,
pathfinding,A* (Chebyshev),50,74.8,9.8601,717.05,241.5456,49.85,8.3809,0.004,0.0015,141008.6,47041.9807,,,,,,
pathfinding,A* (Chebyshev),100,140.3,9.7824,2743.7,731.9249,106.5,24.0164,0.0146,0.0039,528287.8,176833.7918,,,,,,
pathfinding,A* (Euclidean),10,16.4,2.2572,31.05,5.326,6.0,1.5218,0.0001,0.0,5389.2,527.8678,,,,,,
pathfinding,A* (Euclidean),20,32.3,4.6915,109.8,35.8573,14.6,2.9272,0.0005,0.0002,17510.4,5878.8654,,,,,,
pathfinding,A* (Euclidean),30,47.2,5.2676,255.2,69.8597,25.95,4.1609,0.0013,0.0004,48954.0,15318.7212,,,,,,
pathfinding,A* (Euclidean),40,59.4,8.146,375.7,146.7235,33.95,6.2025,0.0019,0.0008,73354.6,35966.4059,,,,,,
pathfinding,A* (Euclidean),50,74.8,9.8601,611.45,250.8794,45.05,9.0523,0.0036,0.0016,121541.6,44435.3875,,,,,,
pathfinding,A* (Euclidean),100,140.3,9.7824,2342.95,640.1167,93.85,18.2419,0.0134,0.0037,461448.2,169023.45,,,,,,
pathfinding,A* (Manhattan),10,16.4,2.2572,29.05,4.8175,6.1,1.5861,0.0001,0.0,5414.0,566.962,,,,,,
pathfinding,A* (Manhattan),20,32.3,4.6915,91.85,28.649,15.1,3.8512,0.0004,0.0001,16502.6,5569.5466,,,,,,
pathfinding,A* (Manhattan),30,47.2,5.2676,187.95,71.4603,24.8,4.4556,0.0008,0.0004,37061.8,17077.5497,,,,,,
pathfinding,A* (Manhattan),40,59.4,8.146,262.7,99.5099,34.4,9.7732,0.0012,0.0005,53179.2,21424.4327,,,,,,
pathfinding,A* (Manhattan),50,74.8,9.8601,403.6,162.9564,47.75,14.2418,0.0021,0.0009,82459.8,41619.8186,,,,,,
pathfinding,A* (Manhattan),100,140.3,9.7824,1349.6,263.9092,114.1,30.6884,0.007,0.0015,285342.8,92238.2215,,,,,,
pathfinding,BFS,10,16.4,2.2572,46.75,5.8479,6.1,1.2524,0.0001,0.0,7713.6,1815.6542,,,,,,
pathfinding,BFS,20,32.3,4.6915,197.55,14.1885,14.3,2.2734,0.0005,0.0,34168.0,0.0,,,,,,
pathfinding,BFS,30,47.2,5.2676,460.7,31.2479,22.8,2.3306,0.0012,0.0001,66768.0,0.0,,,,,,
pathfinding,BFS,40,59.4,8.146,804.85,47.4389,31.05,2.1392,0.0022,0.0001,131960.0,0.0,,,,,,
pathfinding,BFS,50,74.8,9.8601,1267.6,100.3139,39.75,3.611,0.0038,0.0009,165066.0,57633.1877,,,,,,
pathfinding,BFS,100,140.3,9.7824,5126.1,432.1199,76.25,3.5522,0.014,0.0013,681864.2,244077.7501,,,,,,
pathfinding,DFS,10,17.2,3.8334,35.45,11.5324,4.95,1.3169,0.0001,0.0,5422.4,1765.1401,,,,,,
pathfinding,DFS,20,55.4,16.5892,112.95,52.4891,16.6,4.9247,0.0004,0.0002,17244.8,9424.8301,,,,,,
pathfinding,DFS,30,114.2,56.4359,277.45,139.7051,34.8,16.0414,0.0009,0.0004,41487.8,20927.006,,,,,,
pathfinding,DFS,40,158.6,81.972,452.7,272.6311,63.7,34.4354,0.0014,0.0008,65604.4,42336.1717,,,,,,
pathfinding,DFS,50,286.2,193.6871,713.75,470.4338,106.3,64.9397,0.0026,0.0019,86904.8,55409.5685,,,,,,
pathfinding,DFS,100,1024.9,830.0888,2391.75,1788.9529,408.0,293.184,0.0084,0.0066,284940.8,193847.1274,,,,,,
mdp,Policy Iteration,10,15.4,2.2572,,,,,0.0093,0.0016,1957.2,178.3248,66.3,11.6443,54.8,7.8579,11.5,3.873
mdp,Policy Iteration,20,31.3,4.6915,,,,,0.0841,0.017,10594.4,48.5651,110.6,25.1027,87.25,16.9485,23.35,8.2096
mdp,Policy Iteration,30,46.2,5.2676,,,,,0.2671,0.0657,23566.4,105.4506,150.35,40.2966,116.75,27.0591,33.6,13.2958
mdp,Policy Iteration,40,58.4,8.146,,,,,0.7484,0.1196,43193.6,162.1041,231.35,41.9176,176.05,27.4772,55.3,14.6399
mdp,Policy Iteration,50,73.8,9.8601,,,,,1.5411,0.4339,67662.0,145.0923,261.1,71.1336,199.75,49.0004,61.35,22.3825
mdp,Policy Iteration,100,139.3,9.7824,,,,,9.9508,2.456,269266.4,374.785,449.5,110.7218,328.35,68.1711,121.15,44.0517
mdp,Value Iteration,10,15.4,2.2572,,,,,0.0023,0.0008,1559.2,118.8832,12.65,4.1836,,,,
